Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),Carbohydrates (g),1.83,9.27,1.42,3.57,92.78,67.88,0.88,29.07,85.27
Crispy okra/Crispy lady's fingers (Karare bhindi),Carbohydrates (g),1.91,70.4,0.26,1.75,40.42,27.61,0.56,18.14,90.04
Beans foogath,Carbohydrates (g),2.03,9.22,1.7,4.15,81.22,44.2,0.95,6.36,86.05
Stuffed bittergourd (wet) (Bharwa karele),Carbohydrates (g),1.36,15.24,1.95,2.86,360.09,17.25,0.91,46.93,63.07
Jackfruit/Kathal (dry),Carbohydrates (g),0.93,51.78,3.55,1.33,33.68,12.79,0.33,21.72,55.34
Yam fried (Zimikand/Suran fried),Carbohydrates (g),0.79,51.79,0.8,1.44,37.07,8.11,0.43,30.3,35.57
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",Carbohydrates (g),2.75,5.54,1.47,3.26,86.29,21.05,0.98,53.51,60.04
Vegetable jalfrezi,Carbohydrates (g),1.4,4.38,1.79,2.97,79.46,27.11,0.68,26.08,28.48
Vegetables stir fry ,Carbohydrates (g),1.04,1.47,0.86,1.37,55,13.3,0.34,38.17,61.93
Broccoli delight,Carbohydrates (g),2.49,2.48,1.08,2.83,59.26,26.99,0.71,79,97.64
Dhansak (vegetarian),Carbohydrates (g),3.32,4.18,0.91,4.17,34.18,26.4,1.26,13.25,45.12
Cauliflower basket,Carbohydrates (g),5.21,5.88,1.47,2.4,194.22,100.19,0.92,71.55,88.46
Stuffed bottle gourd (Stuffed ghiya/lauki),Carbohydrates (g),5.84,5.8,1.52,1.18,106.99,71.83,0.66,9.01,92.91
Ducheese potato,Carbohydrates (g),3.6,9.01,0.29,1.29,103.85,18.1,0.76,7.23,8.71
Roast potatoes ,Carbohydrates (g),1.53,2.35,0.33,1.71,90.67,10.38,0.57,17.36,11.66
Stuffed baked potatoes ,Carbohydrates (g),3.82,4.39,0.4,1.31,92.09,25.72,0.81,18.77,23.25
Potato nests,Carbohydrates (g),5.71,4.77,1.41,2.49,182.12,55.25,0.87,37.47,49.55
Parsley potato,Carbohydrates (g),1.49,6.28,0.34,1.59,4.62,11.43,0.55,23.82,16.5
Creamed spinach and mushroom,Carbohydrates (g),2.28,44.14,1.17,1.02,90.21,65.49,0.9,48.37,234.02
Fricassee of Mushroom,Carbohydrates (g),3.65,6.63,2.51,1.23,118.98,84.97,0.36,39.68,37.46
Cauliflower au gratin,Carbohydrates (g),4.45,10.2,3.01,1.44,164.96,119.69,0.57,50.15,69.55
Vegetable and cheese pie,Carbohydrates (g),4.03,8.28,2.69,1.91,117.99,99.48,0.58,55,104.25
Spinach souffle ,Carbohydrates (g),7.36,10.52,0.89,1.44,244.07,133.69,2.15,30.28,172.47
Beetroot and egg salad (Chukandar aur ande ka salad),Carbohydrates (g),3.36,6.45,1.97,0.55,110.12,18.13,0.55,6,41.14
Sour cream potato salad,Carbohydrates (g),2.89,8.13,0.84,1.21,102.66,23.25,0.9,37.28,52.99
Tossed green salad,Carbohydrates (g),1.33,3.24,1.9,1.33,65.09,33.71,1.27,58.24,75.97
Spring basket salad,Carbohydrates (g),3.36,11.3,1.46,3.09,26.02,45.65,0.85,70.79,109.53
Cucumber and yogurt salad (Kheere aur dahi ka salad),Carbohydrates (g),2.09,0.93,2.28,1.66,141.73,68.49,0.52,6.74,21.36
Chicken and tomato towers,Carbohydrates (g),6.9,6.99,1.21,1.14,76.02,17.54,0.77,56.69,49.49
Jellied sunshine fruit salad,Carbohydrates (g),5.85,0.85,2.86,1.8,74.2,37.14,0.87,28.75,37.7
Tomato aspic,Carbohydrates (g),6.87,0.26,3.21,1.58,98.17,44.28,1.18,35.87,39.01
Frozen frosty fruit salad (Phalon ka salaad),Carbohydrates (g),1.68,4.17,14.38,0.26,13.23,28.61,0.41,33.45,20.91
French dressing,Carbohydrates (g),0.32,79.65,3.01,0.22,261.13,6.98,0.48,6.42,1.95
Mayonnaise without eggs,Carbohydrates (g),2.13,33.84,3.68,0.04,193.58,75.54,0.27,12.05,18.85
Curd dressing ,Carbohydrates (g),5.59,2.9,7.57,0.22,204.62,194.59,0.18,5.34,39.4
Carrot raita (Gajar ka raita),Carbohydrates (g),4.14,2.19,5.99,1.69,274.46,146.72,0.55,7.76,32
Pumpkin raita (Kaddu ka raita),Carbohydrates (g),3.74,1.88,5.48,1.04,129.14,130.11,0.33,7.11,31.7
Mint and peanut raita (Pudinay aur moongfali ka raita),Carbohydrates (g),7.05,6.19,6.17,1.79,223.01,191.01,1.68,6.06,44.25
Spinach raita (Palak ka raita),Carbohydrates (g),3.95,1.86,3.97,1.39,126.57,142.96,1.61,32.9,160.65
