Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Hot tea (Garam Chai),Carbohydrates (g),0.39,0.53,2.58,0,3.12,14.2,0.02,0.5,1.8
Instant coffee,Carbohydrates (g),0.64,0.75,3.62,0,4.92,20.87,0.06,1.51,5.6
Espreso coffee,Carbohydrates (g),1.75,2.14,6.53,0,13.98,58.1,0.15,1.51,5.53
Iced tea,Carbohydrates (g),0.03,0.01,2.7,0,0.23,1.18,0.02,5.95,1.28
Raw mango drink (Aam panna),Carbohydrates (g),0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05
Fruit Punch (with fresh juices),Carbohydrates (g),0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57
Fruit Punch (with squashes),Carbohydrates (g),0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13
Lemonade,Carbohydrates (g),0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11
Lem-o-gin,Carbohydrates (g),0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92
Cumin infused water (Jeere/Zeere ka pani),Carbohydrates (g),0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14
Coco pine cooler,Carbohydrates (g),0.56,1,5.52,0.26,23.2,17.81,0.13,10.67,12.64
Summer cooler,Carbohydrates (g),0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89
Hot cocoa,Carbohydrates (g),3.36,4.56,9.01,0,24.2,113.66,0.31,3.62,13.79
Cold coffee with ice cream,Carbohydrates (g),1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49
Banana milkshake (Kele milkshake),Carbohydrates (g),1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83
Mango milkshake (Aam milkshake),Carbohydrates (g),1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68
Pineapple milkshake (Ananas milkshake),Carbohydrates (g),1.66,2.23,7.6,0,14.05,59.92,0.11,10.22,17.45
Orange milkshake (Narangi milkshake),Carbohydrates (g),1.86,2.52,7.08,0,14.63,67.42,0.11,10.82,16.85
Egg nog,Carbohydrates (g),4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91
Sweet Lassi (Meethi lassi),Carbohydrates (g),1.29,0.68,6.51,0,18.31,45.65,0.03,1,18
Lassi (salted),Carbohydrates (g),1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07
Cheese and chilli sandwich ,Carbohydrates (g),6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14
Egg sandwich (Ande ka sandwich),Carbohydrates (g),8.69,15.8,1.86,1.88,461.67,110.13,1.44,0,14.92
Cucumber sandwich (Kheere ka sandwich),Carbohydrates (g),4.8,8,1.64,2.45,362.64,87.84,1.02,1.53,12.96
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Carbohydrates (g),8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Carbohydrates (g),7.92,12.27,2.85,1.97,549.71,191.2,1,3.16,12.18
Chicken sandwich,Carbohydrates (g),13.12,11.75,1.6,1.64,389.67,89.56,1.19,0,11.1
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Carbohydrates (g),9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04
Rainbow sandwich,Carbohydrates (g),7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38
Club sandwich ,Carbohydrates (g),7.31,15.12,2.01,1.81,461.66,115.68,0.86,6,17.42
Vegetarian club sandwich,Carbohydrates (g),5.45,11.33,2.08,2.06,305.36,122.44,0.77,6,17.53
Pin wheel sandwich,Carbohydrates (g),8.77,24.93,1.45,0.93,374.39,67.75,1.36,0,9.04
Carrot apple sandwich (Gajar aur seb ka sandwich),Carbohydrates (g),5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7
Salami sandwich,Carbohydrates (g),8.7,15.51,2,1.97,662.75,73.54,1.11,1.25,12.65
Vegetable and mayonnaise sandwich,Carbohydrates (g),4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Carbohydrates (g),7.66,10.51,2.09,1.77,423.26,95.71,1.3,1.98,16.33
Sweet open sandwich,Carbohydrates (g),4.99,8.15,12.23,2.36,205.27,85.18,1.15,1.65,13.05
Mushroom and cheese sandwich (toasted),Carbohydrates (g),7.79,13.01,2.11,2.28,456.57,172.35,0.84,0,12.7
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Carbohydrates (g),6.82,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48
Pea potato sandwich (toasted) (Matar aloo ka sandwich),Carbohydrates (g),4.6,5.43,1.33,2.89,262.63,64.15,1.11,14.11,21.01
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Carbohydrates (g),12.4,11.98,6.4,2.12,268.9,274.1,1.26,4.85,52.13
Chicken sandwich (toasted),Carbohydrates (g),12.08,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Carbohydrates (g),11.06,5.61,1.94,2.45,290.07,70.79,1.51,5.5,18.29
Classic club sandwich,Carbohydrates (g),6.74,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9
Sesame toast,Carbohydrates (g),1.9,49.38,1.46,1.32,128.78,43.44,0.72,6.92,8.87
Cracked wheat porridge (Meetha daliya),Carbohydrates (g),2.64,4.08,5.12,0.62,15.89,75.88,0.32,5.03,17.58
Semolina porridge (Suji/Rava daliya),Carbohydrates (g),3.75,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71
Oatmeal Porridge,Carbohydrates (g),2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98
Cornflakes with milk,Carbohydrates (g),3.59,5.12,9.97,0.78,26.55,106.47,0.42,4.82,43.87
Rice flakes (Chiwda/Aval),Carbohydrates (g),3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41
Wheat flakes,Carbohydrates (g),3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41
Murmura (Puffed rice),Carbohydrates (g),3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87
Puffed wheat (Murmure/Moori),Carbohydrates (g),3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87
Boiled egg (Ubla anda),Carbohydrates (g),4.43,3.04,0,0.11,170.94,17.75,0.64,0,24.77
Fried Egg ,Carbohydrates (g),11.59,19.62,0,0.29,446.96,46.4,1.69,0,24.77
Poached egg,Carbohydrates (g),11.98,8.19,0.05,0.3,1163.07,48.24,1.75,0,24.77
Scrambled egg (Ande ki bhurji),Carbohydrates (g),10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82
Baked egg ,Carbohydrates (g),11.88,12.65,1.66,1.03,523.29,164.05,1.48,0,35.72
Plain omelette/omlet,Carbohydrates (g),9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48
Stuffed egg omelette/omlet,Carbohydrates (g),8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23
Pancake,Carbohydrates (g),5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43
Keema pancake,Carbohydrates (g),9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23
Vegetable pancake,Carbohydrates (g),3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57
Jam and fruit pancake,Carbohydrates (g),3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42
Khoa and coconut pancake,Carbohydrates (g),6.98,15.29,16.47,1.65,101,157.22,1.12,0.73,19.12
Brown stock,Carbohydrates (g),1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33
Vegetable stock,Carbohydrates (g),0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92
Chicken stock,Carbohydrates (g),3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19
Clear tomato soup (Tamatar ka soup),Carbohydrates (g),4.79,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91
Lentil soup,Carbohydrates (g),9.65,11.68,1.06,2.57,10418.84,40.57,2.26,17.9,34.92
Chicken consomme (Clear chicken soup),Carbohydrates (g),11.47,12.02,0.54,1.57,8953.64,35.48,1.82,2.1,11.38
Cream of tomato soup,Carbohydrates (g),4.61,13.12,1.81,1.38,4461.22,39.61,0.95,53.23,44.01
Cream of green peas soup,Carbohydrates (g),7.13,14.78,1.61,2.95,4999.7,51.01,1.48,52.28,88.58
Cream of spinach soup,Carbohydrates (g),5.21,13.31,1.13,1.74,4429.81,70.77,2.1,63.34,298.06
Cream of mixed vegetable soup,Carbohydrates (g),6.84,9.05,2.1,2.14,5655.45,65.26,1.36,39.02,54.46
Cream of mushroom soup,Carbohydrates (g),6.64,15.5,1.93,1.34,5276.06,70.56,1.81,5.79,30.72
Chicken sweet corn soup,Carbohydrates (g),14.48,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45
Minestrone soup,Carbohydrates (g),9.3,11.09,1.01,1.92,8875.06,53.55,1.82,19.43,23.24
Egg drop soup,Carbohydrates (g),12.93,13.52,0.6,0.81,12418.84,100.14,3.93,8.51,28.19
Chinese cabbage and meat ball soup,Carbohydrates (g),5.21,56.57,0.37,0.57,4249.41,41.07,1.52,16.72,20.33
French onion soup,Carbohydrates (g),11.41,14.39,1.5,1.01,11202.89,106.22,3.52,5.35,24.85
Hot and sour soup,Carbohydrates (g),3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83
Talaumein soup,Carbohydrates (g),10.12,12.78,0.77,1.94,11088.14,42.33,2.23,12.62,48.58
Cold cucumber soup (Thanda kheere ka soup),Carbohydrates (g),2.99,1.99,3.34,0.88,121.32,99.79,0.32,5.05,27.42
Cold summer garden soup,Carbohydrates (g),8.57,14.08,0.46,1.86,9919.62,43.93,2.13,16.3,43.26
Chapati/Roti,Carbohydrates (g),5.88,3.56,1,6.31,1.16,17.22,2.28,0,5.84
Plain parantha/paratha,Carbohydrates (g),5.06,16.86,0.86,5.43,62.07,14.81,1.98,0,7.79
Potato parantha/paratha (Aloo ka parantha/paratha),Carbohydrates (g),3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96
Radish parantha/paratha (Mooli ka parantha/paratha),Carbohydrates (g),3.3,9.53,1.31,4.32,127.03,23.75,1.39,8.44,20.74
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Carbohydrates (g),3.73,9.47,1.15,4.68,190.03,22,1.59,17.61,26.32
Dal parantha/paratha,Carbohydrates (g),6.78,13.05,1.43,6.46,156.13,23.89,2.45,1.8,29.02
Sprouted moong parantha/paratha,Carbohydrates (g),4.29,12.43,1.47,4.49,153.94,20.33,1.94,2,12.52
Pea parantha/paratha (Matar ka parantha/paratha),Carbohydrates (g),5.59,8.8,1.29,5.61,109.99,23.49,1.78,17.8,33.64
Keema parantha/paratha,Carbohydrates (g),9.41,13.91,0.99,3.44,140.62,19.35,1.8,1.8,11.49
Paneer parantha/paratha,Carbohydrates (g),7.98,14.62,3.77,4,142.52,127.65,1.7,1.69,29
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Carbohydrates (g),5.54,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53
Poori,Carbohydrates (g),1.35,77.61,0.23,1.46,31.73,3.98,0.6,0,4.68
Spinach poori (Palak poori),Carbohydrates (g),1.42,71.86,0.24,1.55,35.47,10.02,0.79,3.03,18.9
Methi poori,Carbohydrates (g),1.45,74.6,0.26,1.61,35.37,14.61,0.81,2.91,8.47
Dal stuffed poori,Carbohydrates (g),2.08,81.69,0.29,1.96,128.18,6.88,0.83,0.42,7.65
Potato stuffed poori (Aloo ki poori),Carbohydrates (g),1.52,81.35,0.26,1.64,69.86,5.57,0.7,1.39,5.63
Tandoori parantha/paratha,Carbohydrates (g),5.08,16.51,0.86,5.44,1.14,14.98,1.96,0,7.79
Boiled rice (Uble chawal),Carbohydrates (g),2.6,0.18,0.22,1.25,1.05,2.7,0.24,0,9.75
Plain pulao,Carbohydrates (g),2.34,4.62,1.15,1.69,193.76,12.76,0.41,3.42,22.63
Mixed vegetable pulao,Carbohydrates (g),2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63
Mushroom pulao,Carbohydrates (g),2.52,4.03,1,1.88,222.36,13.54,0.39,3.42,26.77
Sprouted moong pulao,Carbohydrates (g),2.19,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15
Paneer pulao,Carbohydrates (g),1.98,59.81,1.11,0.62,72.28,33.09,0.26,3.42,69.28
Peanut pulao ,Carbohydrates (g),5.32,9.51,1.6,2.9,168.4,18.52,0.83,3.42,68.06
Navratan pulao,Carbohydrates (g),6.2,9.45,2.52,3.82,334.26,59.61,1.1,12.89,46.97
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Carbohydrates (g),4.88,4.82,2.48,3.15,170.05,18.94,0.95,5.43,301.13
Mutton biryani/biriyani,Carbohydrates (g),7.38,7.72,2.39,2.42,262.64,68.58,1.29,10.28,30.07
Vegetable biryani/biriyani,Carbohydrates (g),3.16,9.51,2.14,3.31,183.79,33.52,0.86,39.35,77.54
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Carbohydrates (g),4.26,7.88,0.78,2.52,187.11,12.7,0.77,10.2,38.01
Sweet rice (Meethe chawal),Carbohydrates (g),2.1,4.57,24.8,1.13,3.2,11.38,0.34,0.21,10.65
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),Carbohydrates (g),5.75,4.32,3.91,2.13,213.29,101.52,0.59,5.1,28.24
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Carbohydrates (g),7.45,8.53,11.65,5.12,162.41,50.94,2.89,0.84,23.02
Spanish rice,Carbohydrates (g),4.19,2.23,1.26,2.78,96.61,18.93,0.92,48.66,54.48
Chinese fried rice,Carbohydrates (g),4.05,5.43,1.47,2.31,248.36,34.7,0.99,67.39,136.83
Macroni cheese pie,Carbohydrates (g),5.85,7.48,3.4,0.4,200.51,122.01,0.54,14.65,28.19
Vegetable chowmein,Carbohydrates (g),3.07,6.36,1.97,1.86,258.47,28.33,0.99,85.39,99.36
Chicken chowmein,Carbohydrates (g),6.33,8.23,1.63,1.64,288.15,26.1,0.89,84.96,102.27
Cheese noodle ring,Carbohydrates (g),6.22,6.12,2.84,1.27,241.96,99.3,0.79,24.19,94.77
Spaghetti and cheese balls in tomato sauce,Carbohydrates (g),2.41,52.08,1.83,0.59,104.14,40.59,0.32,57.67,115.96
Penne platter,Carbohydrates (g),5.04,8.71,4.5,1.09,283.37,67.67,0.9,16.35,60.2
Pasta hot pot,Carbohydrates (g),5.84,6.47,5.99,0.8,231.17,55.28,0.82,58.74,111.3
Chicken lasagne,Carbohydrates (g),10.45,10.36,2.74,0.11,238.55,119.98,0.64,4.23,61.02
Fettuccine with spinach sauce,Carbohydrates (g),3.1,7.83,1.18,0.77,153.59,53.67,1.28,38.37,170.92
Naan,Carbohydrates (g),8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,7.56
Bhatura,Carbohydrates (g),1.63,82.56,0.69,0.38,28.3,12.12,0.33,0.05,4.15
Idli,Carbohydrates (g),4.64,0.33,0.28,2.31,100.83,8,0.68,0,2.95
Masala dosa,Carbohydrates (g),3.29,7.84,1.33,2.52,191.28,15.58,0.79,14.14,35.76
Semolina dosa (Suji/Rava dosa),Carbohydrates (g),7.3,7.12,4.37,4.04,202.36,116.04,1.39,2.28,15.86
Onion tomato uttapam,Carbohydrates (g),1.91,45.3,0.8,1.26,143.53,5.82,0.36,4.78,11.68
Paneer kaathi roll,Carbohydrates (g),6.92,19.55,3.29,2.4,221.03,101.66,1.42,18.67,54.04
Makki ki roti,Carbohydrates (g),3.49,16.85,0.7,5.19,236.22,14.76,1.11,1.99,10.72
Washed moong dal (Dhuli moong ki dal),Carbohydrates (g),2.68,1.68,0.12,1.17,150.64,8.48,0.64,0.04,27.98
Washed urad dal (Dhuli urad ki dal),Carbohydrates (g),2.51,2.98,0.32,1.53,142.21,10.24,0.72,0.99,30.4
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Carbohydrates (g),2.79,3.6,1.05,2.72,149.47,14.33,0.99,15.2,90.42
Dry washed urad,Carbohydrates (g),6.85,3.5,0.73,4.06,295.79,27.08,1.89,1.46,40.3
Mixed dal,Carbohydrates (g),2.51,3.1,0.34,1.62,141.36,11,0.78,1.1,40.35
Whole moong (Moong ki dal),Carbohydrates (g),2.25,2.56,0.59,2.02,123.86,13.58,0.68,11.04,55.37
Whole masoor (Masoor ki dal),Carbohydrates (g),2.28,2.52,0.67,1.98,123.72,12.2,0.95,11.04,48.17
Whole moth (Moth ki dal),Carbohydrates (g),2.01,2.62,0.66,1.85,125.08,18.98,0.95,11.04,116.57
Whole urad (Urad ki dal),Carbohydrates (g),2.21,2.62,0.57,2.32,126.12,13.07,0.78,10.28,51.6
Moti mahal dal (Urad rajmah mix dal),Carbohydrates (g),3.93,5.66,1.7,3.38,157.61,38.13,1.05,15.45,93.14
Black channa curry/Bengal gram curry (Kale chane ki curry),Carbohydrates (g),5.67,6.61,2.36,7.99,358.63,53.87,2.43,15.13,87.38
Chickpeas curry (Safed channa curry),Carbohydrates (g),6.1,6.84,4.78,4.73,357.99,30.61,1.82,16.33,184.58
Lobia curry,Carbohydrates (g),6.06,5.62,2.51,4.57,355.41,36.8,2.21,15.13,86.78
Soyabean curry,Carbohydrates (g),10.43,10.19,2.66,7.34,352.69,65.13,2.79,15.13,103.88
Kidney bean curry (Rajmah curry),Carbohydrates (g),5.95,5.77,2.49,5.83,354.6,47.87,2.27,16.33,112.28
Sambar,Carbohydrates (g),3.35,4.38,3.31,3.52,159.54,30.24,1.24,20.35,68.19
Besan kadhi with pakodies,Carbohydrates (g),1.64,42.59,0.88,0.81,60.8,24.53,0.38,4.17,77.03
Khatta channa,Carbohydrates (g),6.3,10.56,4.75,5.26,513.32,40.77,1.94,20.89,244.23
Sprouted moong dal chat,Carbohydrates (g),1.35,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12
Potato cauliflower (Aloo gobhi),Carbohydrates (g),1.9,8.13,0.44,3.02,254.76,22.87,1.07,61.11,55.94
Potato capsicum (Shimla mirch aloo),Carbohydrates (g),1.41,9.33,0.54,2.02,277.92,16.45,0.86,81.26,39.8
Cabbage and peas (Pattagobhi aur matar),Carbohydrates (g),3.24,2.64,0.97,3.99,253.73,45.5,1.1,54.84,75.95
Carrot and fenugreek leaves (Gajar methi),Carbohydrates (g),2.1,3.81,2.11,4.43,262.91,128.83,2.72,51.83,81.67
Potato fenugreek (Aloo methi),Carbohydrates (g),2.25,10.04,0.54,2.93,221.93,107.8,2.53,68.76,73.14
Brinjal bhartha (Baingan ka bhartha),Carbohydrates (g),1.38,4.48,1.82,3.27,132.15,17.85,0.48,24.05,92.42
Dry potato (Sookhe aloo),Carbohydrates (g),1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7
Beans with coconut (Nariyal aur sem/phali; Beans thoran),Carbohydrates (g),2.62,11.39,2.06,5.59,271.65,51.92,1.34,6.03,75.87
Cauliflower with coconut (Nariyal ke saath phoolgobhi),Carbohydrates (g),2.64,11.56,1.71,5.27,286.06,35.37,1.33,51.79,59.84
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Carbohydrates (g),1.82,8.62,2.36,4.52,219.6,48.63,0.84,41.01,72.27
Raw turnip with coconut ,Carbohydrates (g),1.8,11.47,4.4,2.79,275.55,50.65,0.82,21.65,27.89
Raw papaya with coconut (Papaya thoran),Carbohydrates (g),1.54,11.42,3.82,4.31,270.56,33.74,0.82,25.38,43.68
Stuffed okra (Bharwa bhindi),Carbohydrates (g),2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97
Stuffed round gourd (Bharwa tinde),Carbohydrates (g),1.1,5.75,1.96,2.1,180.15,20.21,0.59,37.36,71.07
Stuffed capsicum (Bharwa shimla mirch),Carbohydrates (g),1.34,5.7,1.21,2.01,173.94,15.17,0.61,74.25,38.35
Stuffed brinjal (Bharwa baingan),Carbohydrates (g),1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11
Stuffed tomatoes (Bharwa tamatar),Carbohydrates (g),3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42
Pea potato curry (Aloo matar),Carbohydrates (g),3.48,5.13,1.86,3.61,154.83,21.1,1.02,70.01,88.11
Pea paneer curry (Matar paneer),Carbohydrates (g),6.61,7.75,3.89,3.3,157.34,105.2,1.08,58.44,127.01
Pea mushroom curry (Matar mushroom),Carbohydrates (g),3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49
Pea curry (Matar ki sabzi),Carbohydrates (g),4.51,5.11,1.98,4.44,154.75,24.48,1.2,77.64,107.74
Pea vadi curry,Carbohydrates (g),4.64,5.08,1.92,4.28,149.51,23.62,1.2,77.64,109.24
Paneer curry,Carbohydrates (g),7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56
Lotus stem curry (Kamal kakdi curry),Carbohydrates (g),1.53,7.25,2.09,3.14,217.05,26.59,1.71,40.01,45.45
Gravy for kofta,Carbohydrates (g),1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6
Pea kofta curry (Matar kofta curry),Carbohydrates (g),2.01,63.39,0.88,1.7,83.07,13.84,0.56,74.66,129.13
Spinach kofta curry (Palak kofta curry),Carbohydrates (g),1.09,61.49,0.82,0.92,104.51,29.31,0.83,64.05,250.89
Paneer kofta curry,Carbohydrates (g),2.39,72.06,1.98,0.4,121.72,59.49,0.34,17.06,97.75
Lotus stem kofta curry (Kamal kakdi kofta curry),Carbohydrates (g),0.96,67.76,0.88,1.01,108.61,19.31,0.65,38.6,57.76
Raw banana kofta curry (Kela kofta curry),Carbohydrates (g),0.62,67.98,2.3,0.59,88.4,9.23,0.28,23.63,46.68
Cauliflower kofta curry (Phoolgobhi kofta curry),Carbohydrates (g),1.04,69.62,0.83,1,93.65,12.26,0.4,53.98,89.51
Cabbage kofta curry (Pattagobhi kofta curry),Carbohydrates (g),0.98,69.4,0.89,0.9,92.85,15.46,0.34,43.56,90.4
Ghiya/Lauki Kofta Curry,Carbohydrates (g),0.89,69.4,0.82,0.83,91.43,11.64,0.33,21.87,87.12
Spinach paneer kofta curry (Palak paneer kofta curry),Carbohydrates (g),1.43,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93
Vegetarian egg kofta curry,Carbohydrates (g),1.33,67.24,1.19,0.64,95.89,28.39,0.39,35.58,67.83
Baked vegetables,Carbohydrates (g),3.67,4.44,2.56,2.34,124.7,80.2,0.62,47.05,77.19
Cauliflower musallam (Phoolgobhi musallam),Carbohydrates (g),1.89,3.55,1.71,3.06,123.36,24.61,0.83,71.44,76.8
Baked vegetables with spinach ,Carbohydrates (g),3.22,4.03,2.09,2.33,122.85,78.63,1.16,78.95,223.29
Baked potato with skin ,Carbohydrates (g),3.43,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99
Shepherd's pie (vegetarian),Carbohydrates (g),5.04,7.3,2.78,2.23,118.2,85.59,0.76,51.68,90.43
Baked brinjal in tomato sauce,Carbohydrates (g),1.58,1.62,2.2,2.34,79.66,26.24,0.32,68.38,103.99
Dum aloo,Carbohydrates (g),0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41
Spinach paneer (Palak paneer),Carbohydrates (g),4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05
Methi chaman,Carbohydrates (g),1.54,50.91,1.79,0.53,54.94,60.57,0.63,63.26,141.85
Sarson ka saag,Carbohydrates (g),3,5.86,0.75,3.69,165.45,134.41,2.43,59.58,128.42
Jackfruit sabzi (Kathal ki sabzi),Carbohydrates (g),0.69,67.6,2.59,1.02,58.95,9.85,0.27,14.11,32.14
Avial,Carbohydrates (g),2.46,8.94,3.83,5.44,81.5,31.9,1.01,94.64,108.12
Al yakhani,Carbohydrates (g),2.86,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75
Shahi paneer,Carbohydrates (g),5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58
Paneer in butter sauce,Carbohydrates (g),6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79
Methi malai paneer,Carbohydrates (g),7.34,14.76,6,1.47,221.16,183.96,0.77,13.6,73.86
Chilli paneer,Carbohydrates (g),2.1,84.01,1.5,0.5,89.04,42.9,0.36,4.87,28.7
Paneer makhana korma,Carbohydrates (g),3.24,82.76,1.84,0.21,77.01,72.89,0.55,0.64,94.26
Kadhai Paneer,Carbohydrates (g),4.33,6.81,5.54,2.07,144.33,91.53,0.65,85.83,117.12
Roghan josh,Carbohydrates (g),9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34
Spinach mutton (Palak mutton),Carbohydrates (g),5.74,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34
Pea keema curry (Matar keema ki sabzi),Carbohydrates (g),8.43,8.14,1.82,2.96,148.38,35.6,1.35,55.62,85.14
Keema kofta curry,Carbohydrates (g),9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6
Kashmiri mutton koftas (Gushtaba),Carbohydrates (g),6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46
Mutton yakhni,Carbohydrates (g),8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51
Chicken yakhni,Carbohydrates (g),10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24
Mutton do piaza,Carbohydrates (g),9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3
Mutton chops,Carbohydrates (g),4.03,71.31,0.42,0.17,51.03,36.18,0.64,3.75,16.68
Shammi kebab,Carbohydrates (g),4.52,72.61,0.31,1.05,54.27,13.11,0.75,1.64,20.55
Scotch egg,Carbohydrates (g),4.05,72.62,0.3,0.36,90.67,15.03,0.6,2.59,30.63
Shepherd's pie (with minced meat),Carbohydrates (g),7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04
Chicken curry,Carbohydrates (g),11.79,7.57,1.79,1.41,108,27.29,0.87,16.79,38.7
Tandoori chicken,Carbohydrates (g),16.26,7.93,1.58,0.5,158,44.33,0.9,39.53,182.73
Butter chicken,Carbohydrates (g),10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85
Chicken kebab,Carbohydrates (g),3.71,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83
Chilli chicken,Carbohydrates (g),9.57,16.56,0.93,0.99,223.75,12.97,0.66,55.19,51.55
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Carbohydrates (g),11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41
Fish curry (Machli curry),Carbohydrates (g),8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45
Fried fish (Indian style) (Tali hui machli),Carbohydrates (g),4.35,68.88,0.4,0.61,156.94,11.11,0.56,7.22,35.19
Fried fish and Chips (English Style) (Tali hui machli aur chips),Carbohydrates (g),3.36,69.69,0.17,0.29,72.73,6.56,0.26,22.16,31.65
Tomato fish,Carbohydrates (g),2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88
Baked fish with cheese sauce,Carbohydrates (g),8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36
